id,start_time,end_time,duration,window_id,window_class,window_title
80,2018-03-27 13:38:18,2018-03-27 13:38:19,1,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
81,2018-03-27 13:38:18,2018-03-27 13:38:20,1,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
82,2018-03-27 13:38:18,2018-03-27 13:38:20,2,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
83,2018-03-27 13:38:18,2018-03-27 13:38:21,3,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
84,2018-03-27 13:38:18,2018-03-27 13:38:22,3,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
85,2018-03-27 13:38:22,2018-03-27 13:38:22,0,41943540,urxvt,i3-tracker-rs: cargo run
86,2018-03-27 13:38:22,2018-03-27 13:38:22,0,41943540,urxvt,i3-tracker-rs: cargo run
87,2018-03-27 13:38:22,2018-03-27 13:38:23,1,41943540,urxvt,i3-tracker-rs: cargo run
88,2018-03-27 13:38:22,2018-03-27 13:38:24,1,41943540,urxvt,i3-tracker-rs: cargo run
89,2018-03-27 13:38:22,2018-03-27 13:38:24,2,41943540,urxvt,i3-tracker-rs: cargo run
90,2018-03-27 13:38:22,2018-03-27 13:38:24,2,41943540,urxvt,i3-tracker-rs: cargo run
91,2018-03-27 13:38:22,2018-03-27 13:38:25,3,41943540,urxvt,i3-tracker-rs: cargo run
92,2018-03-27 13:38:22,2018-03-27 13:38:26,3,41943540,urxvt,i3-tracker-rs: cargo run
93,2018-03-27 13:38:22,2018-03-27 13:38:26,4,41943540,urxvt,i3-tracker-rs: cargo run
94,2018-03-27 13:38:22,2018-03-27 13:38:26,4,41943540,urxvt,i3-tracker-rs: cargo run
95,2018-03-27 13:40:11,2018-03-27 13:40:11,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
96,2018-03-27 13:40:11,2018-03-27 13:40:13,2,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
97,2018-03-27 13:40:16,2018-03-27 13:40:16,0,41943540,urxvt,i3-tracker-rs: cargo run
98,2018-03-27 13:40:17,2018-03-27 13:40:17,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
99,2018-03-27 13:40:17,2018-03-27 13:40:17,0,41943540,urxvt,i3-tracker-rs: cargo run
100,2018-03-27 13:40:17,2018-03-27 13:40:17,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
101,2018-03-27 13:40:17,2018-03-27 13:40:17,0,41943540,urxvt,i3-tracker-rs: cargo run
102,2018-03-27 13:40:17,2018-03-27 13:40:17,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
103,2018-03-27 13:40:17,2018-03-27 13:40:17,0,41943540,urxvt,i3-tracker-rs: cargo run
104,2018-03-27 13:40:17,2018-03-27 13:40:17,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
105,2018-03-27 13:40:18,2018-03-27 13:40:18,0,41943540,urxvt,i3-tracker-rs: cargo run
106,2018-03-27 13:40:18,2018-03-27 13:40:18,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
107,2018-03-27 13:40:26,2018-03-27 13:40:26,0,41943540,urxvt,i3-tracker-rs: cargo run
108,2018-03-27 13:40:59,2018-03-27 13:40:59,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
109,2018-03-27 13:40:59,2018-03-27 13:41:01,2,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
110,2018-03-27 13:41:10,2018-03-27 13:41:10,0,41943540,urxvt,i3-tracker-rs: cargo run
111,2018-03-27 13:41:16,2018-03-27 13:41:16,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
112,2018-03-27 13:41:19,2018-03-27 13:41:19,0,41943540,urxvt,i3-tracker-rs: cargo run
